record_id,sender_account,receiver_account,amount,currency,timestamp,reference,channel,region,status
REC000031,SND00330,RCV05506,51.00.00,USD,2026-08-31T23:30:00Z,REF-13747,SWIFT,APAC,SETTLED
REC000032,SND00337,RCV08878,6.00.00,USD,2026-08-31T17:30:00Z,REF-2545,SWIFT,APAC,SETTLED
REC000033,SND00736,RCV03722,38.00.00,USD,2026-08-31T04:56:00Z,REF-1837,SWIFT,APAC,SETTLED
REC000034,SND06992,RCV00341,8.00.00,USD,2026-08-31T17:17:00Z,REF-17146,SWIFT,APAC,SETTLED
REC000035,SND06090,RCV03920,84.00.00,USD,2026-08-31T08:38:00Z,REF-1020,SWIFT,APAC,SETTLED
REC000036,SND00747,RCV00557,41.00.00,USD,2026-08-31T20:49:00Z,REF-30436,SWIFT,APAC,SETTLED
REC000037,SND07206,RCV01239,1.00.00,USD,2026-08-31T16:40:00Z,REF-14636,SWIFT,APAC,SETTLED
REC000038,SND02804,RCV00063,39.00.00,USD,2026-08-31T00:19:00Z,REF-26105,SWIFT,APAC,SETTLED
REC000039,SND07078,RCV06960,39.00.00,USD,2026-08-31T08:28:00Z,REF-32142,SWIFT,APAC,SETTLED
REC000040,SND05578,RCV05577,52.00.00,USD,2026-08-31T12:23:00Z,REF-15214,SWIFT,APAC,SETTLED
REC000041,SND05220,RCV04519,81.00.00,USD,2026-08-31T15:30:00Z,REF-17370,SWIFT,APAC,SETTLED
REC000042,SND07043,RCV00734,85.00.00,USD,2026-08-31T19:28:00Z,REF-25536,SWIFT,APAC,SETTLED
REC000043,SND02624,RCV06764,90.00.00,USD,2026-08-31T22:24:00Z,REF-5488,SWIFT,APAC,SETTLED
REC000044,SND04537,RCV02136,99.00.00,USD,2026-08-31T15:22:00Z,REF-17825,SWIFT,APAC,SETTLED
REC000045,SND00262,RCV06374,88.00.00,USD,2026-08-31T08:23:00Z,REF-18074,SWIFT,APAC,SETTLED
REC000046,SND09213,RCV00681,6.00.00,USD,2026-08-31T23:50:00Z,REF-5334,SWIFT,APAC,SETTLED
REC000047,SND00496,RCV07355,54.00.00,USD,2026-08-31T09:38:00Z,REF-17835,SWIFT,APAC,SETTLED
REC000048,SND03961,RCV00942,99.00.00,USD,2026-08-31T11:17:00Z,REF-31013,SWIFT,APAC,SETTLED
REC000049,SND09863,RCV00367,32.00.00,USD,2026-08-31T15:17:00Z,REF-7407,SWIFT,APAC,SETTLED
REC000050,SND06979,RCV04789,1.00.00,USD,2026-08-31T12:39:00Z,REF-7270,SWIFT,APAC,SETTLED
REC000051,SND04417,RCV05811,88.00.00,USD,2026-08-31T03:23:00Z,REF-29497,SWIFT,APAC,SETTLED
REC000052,SND05942,RCV04033,40.00.00,USD,2026-08-31T16:15:00Z,REF-14382,SWIFT,APAC,SETTLED
REC000053,SND06482,RCV00269,44.00.00,USD,2026-08-31T07:56:00Z,REF-28787,SWIFT,APAC,SETTLED
REC000054,SND07684,RCV00624,58.00.00,USD,2026-08-31T19:53:00Z,REF-26255,SWIFT,APAC,SETTLED
REC000055,SND08985,RCV07897,29.00.00,USD,2026-08-31T22:18:00Z,REF-8593,SWIFT,APAC,SETTLED
REC000056,SND05000,RCV02073,18.00.00,USD,2026-08-31T02:15:00Z,REF-2661,SWIFT,APAC,SETTLED
REC000057,SND06554,RCV03054,13.00.00,USD,2026-08-31T06:38:00Z,REF-5264,SWIFT,APAC,SETTLED
REC000058,SND04783,RCV00680,7.00.00,USD,2026-08-31T21:17:00Z,REF-81,SWIFT,APAC,SETTLED
REC000059,SND02159,RCV05432,96.00.00,USD,2026-08-31T13:22:00Z,REF-10288,SWIFT,APAC,SETTLED
REC000060,SND01980,RCV00593,51.00.00,USD,2026-08-31T00:27:00Z,REF-25057,SWIFT,APAC,SETTLED
REC000061,SND07801,RCV00478,13.00.00,USD,2026-08-31T19:22:00Z,REF-5799,SWIFT,APAC,SETTLED
REC000062,SND08336,RCV00449,22.00.00,USD,2026-08-31T05:33:00Z,REF-20513,SWIFT,APAC,SETTLED
REC000063,SND00239,RCV09003,25.00.00,USD,2026-08-31T13:08:00Z,REF-24166,SWIFT,APAC,SETTLED
REC000064,SND00313,RCV02692,6.00.00,USD,2026-08-31T13:21:00Z,REF-18237,SWIFT,APAC,SETTLED
REC000065,SND07714,RCV03485,40.00.00,USD,2026-08-31T00:42:00Z,REF-9058,SWIFT,APAC,SETTLED
REC000066,SND01012,RCV00159,26.00.00,USD,2026-08-31T02:31:00Z,REF-32170,SWIFT,APAC,SETTLED
REC000067,SND01709,RCV00060,84.00.00,USD,2026-08-31T15:20:00Z,REF-29324,SWIFT,APAC,SETTLED
REC000068,SND03978,RCV01800,91.00.00,USD,2026-08-31T04:20:00Z,REF-9924,SWIFT,APAC,SETTLED
REC000069,SND04249,RCV00936,93.00.00,USD,2026-08-31T11:52:00Z,REF-20679,SWIFT,APAC,SETTLED
REC000070,SND02825,RCV00967,19.00.00,USD,2026-08-31T05:37:00Z,REF-30726,SWIFT,APAC,SETTLED
REC000071,SND03074,RCV02179,77.00.00,USD,2026-08-31T22:36:00Z,REF-27599,SWIFT,APAC,SETTLED
REC000072,SND06983,RCV02178,89.00.00,USD,2026-08-31T06:58:00Z,REF-21657,SWIFT,APAC,SETTLED
REC000073,SND06011,RCV09243,7.00.00,USD,2026-08-31T21:16:00Z,REF-31773,SWIFT,APAC,SETTLED
REC000074,SND04789,RCV04568,89.00.00,USD,2026-08-31T03:01:00Z,REF-11832,SWIFT,APAC,SETTLED
REC000075,SND02351,RCV09384,36.00.00,USD,2026-08-31T04:55:00Z,REF-25986,SWIFT,APAC,SETTLED
REC000076,SND06358,RCV03176,84.00.00,USD,2026-08-31T09:33:00Z,REF-21107,SWIFT,APAC,SETTLED
REC000077,SND04165,RCV07516,15.00.00,USD,2026-08-31T16:13:00Z,REF-28018,SWIFT,APAC,SETTLED
REC000078,SND04218,RCV01180,61.00.00,USD,2026-08-31T00:47:00Z,REF-16197,SWIFT,APAC,SETTLED
REC000079,SND05101,RCV07805,62.00.00,USD,2026-08-31T04:16:00Z,REF-14958,SWIFT,APAC,SETTLED
REC000080,SND01294,RCV00486,75.00.00,USD,2026-08-31T15:44:00Z,REF-30702,SWIFT,APAC,SETTLED
REC000081,SND09651,RCV02916,77.00.00,USD,2026-08-31T20:29:00Z,REF-18785,SWIFT,APAC,SETTLED
REC000082,SND03887,RCV04477,9.00.00,USD,2026-08-31T14:04:00Z,REF-32408,SWIFT,APAC,SETTLED
REC000083,SND00308,RCV04107,57.00.00,USD,2026-08-31T18:12:00Z,REF-15796,SWIFT,APAC,SETTLED
REC000084,SND07432,RCV06755,24.00.00,USD,2026-08-31T11:54:00Z,REF-5500,SWIFT,APAC,SETTLED
REC000085,SND04961,RCV00194,50.00.00,USD,2026-08-31T11:19:00Z,REF-29128,SWIFT,APAC,SETTLED
REC000086,SND07992,RCV03546,18.00.00,USD,2026-08-31T04:05:00Z,REF-15745,SWIFT,APAC,SETTLED
REC000087,SND09060,RCV00742,47.00.00,USD,2026-08-31T01:49:00Z,REF-2811,SWIFT,APAC,SETTLED
REC000088,SND09526,RCV04702,34.00.00,USD,2026-08-31T17:49:00Z,REF-13639,SWIFT,APAC,SETTLED
REC000089,SND05212,RCV04388,99.00.00,USD,2026-08-31T21:35:00Z,REF-15444,SWIFT,APAC,SETTLED
REC000090,SND00384,RCV07726,52.00.00,USD,2026-08-31T23:57:00Z,REF-12751,SWIFT,APAC,SETTLED
REC000091,SND01204,RCV06933,74.00.00,USD,2026-08-31T23:02:00Z,REF-25885,SWIFT,APAC,SETTLED
REC000092,SND02756,RCV05831,0.00,USD,2026-08-31T07:43:00Z,REF-30223,SWIFT,APAC,SETTLED
REC000093,SND05052,RCV07867,7.00.00,USD,2026-08-31T16:26:00Z,REF-12445,SWIFT,APAC,SETTLED
REC000094,SND02613,RCV04148,62.00.00,USD,2026-08-31T23:59:00Z,REF-14696,SWIFT,APAC,SETTLED
REC000095,SND02471,RCV03966,10.00.00,USD,2026-08-31T03:18:00Z,REF-27764,SWIFT,APAC,SETTLED
REC000096,SND03505,RCV06132,78.00.00,USD,2026-08-31T15:49:00Z,REF-29183,SWIFT,APAC,SETTLED
REC000097,SND00525,RCV09045,27.00.00,USD,2026-08-31T04:25:00Z,REF-2774,SWIFT,APAC,SETTLED
REC000098,SND01547,RCV03148,42.00.00,USD,2026-08-31T10:47:00Z,REF-5405,SWIFT,APAC,SETTLED
REC000099,SND03616,RCV04561,43.00.00,USD,2026-08-31T06:32:00Z,REF-10347,SWIFT,APAC,SETTLED
REC000100,SND08923,RCV02297,4.00.00,USD,2026-08-31T13:21:00Z,REF-4711,SWIFT,APAC,SETTLED
REC000101,SND01308,RCV09959,76.00.00,USD,2026-08-31T20:13:00Z,REF-22795,SWIFT,APAC,SETTLED
REC000102,SND09864,RCV01594,49.00.00,USD,2026-08-31T18:10:00Z,REF-448,SWIFT,APAC,SETTLED
REC000103,SND08341,RCV05982,88.00.00,USD,2026-08-31T11:03:00Z,REF-242,SWIFT,APAC,SETTLED
REC000104,SND08113,RCV07637,92.00.00,USD,2026-08-31T15:15:00Z,REF-16881,SWIFT,APAC,SETTLED
REC000105,SND07696,RCV05571,98.00.00,USD,2026-08-31T06:11:00Z,REF-26438,SWIFT,APAC,SETTLED
REC000106,SND05191,RCV05720,68.00.00,USD,2026-08-31T07:27:00Z,REF-18173,SWIFT,APAC,SETTLED
REC000107,SND05386,RCV05605,80.00.00,USD,2026-08-31T21:57:00Z,REF-21112,SWIFT,APAC,SETTLED
REC000108,SND08311,RCV08974,48.00.00,USD,2026-08-31T03:30:00Z,REF-22609,SWIFT,APAC,SETTLED
REC000109,SND09009,RCV08038,38.00.00,USD,2026-08-31T19:16:00Z,REF-9962,SWIFT,APAC,SETTLED
REC000110,SND02547,RCV07450,20.00.00,USD,2026-08-31T06:44:00Z,REF-14192,SWIFT,APAC,SETTLED
REC000111,SND09232,RCV01071,5.00.00,USD,2026-08-31T21:14:00Z,REF-32257,SWIFT,APAC,SETTLED
REC000112,SND07295,RCV08091,49.00.00,USD,2026-08-31T20:51:00Z,REF-7037,SWIFT,APAC,SETTLED
REC000113,SND07829,RCV07452,28.00.00,USD,2026-08-31T08:14:00Z,REF-6034,SWIFT,APAC,SETTLED
REC000114,SND05367,RCV03730,14.00.00,USD,2026-08-31T17:51:00Z,REF-20833,SWIFT,APAC,SETTLED
REC000115,SND01751,RCV09876,91.00.00,USD,2026-08-31T09:17:00Z,REF-23804,SWIFT,APAC,SETTLED
REC000116,SND05672,RCV02281,89.00.00,USD,2026-08-31T11:20:00Z,REF-4518,SWIFT,APAC,SETTLED
REC000117,SND01702,RCV02814,47.00.00,USD,2026-08-31T18:51:00Z,REF-29626,SWIFT,APAC,SETTLED
REC000118,SND08894,RCV02441,15.00.00,USD,2026-08-31T12:07:00Z,REF-1605,SWIFT,APAC,SETTLED
REC000119,SND06444,RCV06737,99.00.00,USD,2026-08-31T02:39:00Z,REF-31284,SWIFT,APAC,SETTLED
REC000120,SND08428,RCV07608,14.00.00,USD,2026-08-31T03:48:00Z,REF-20275,SWIFT,APAC,SETTLED
REC000121,SND05514,RCV04319,95.00.00,USD,2026-08-31T02:19:00Z,REF-2867,SWIFT,APAC,SETTLED
REC000122,SND04825,RCV05227,37.00.00,USD,2026-08-31T08:18:00Z,REF-16499,SWIFT,APAC,SETTLED
REC000123,SND02626,RCV00509,27.00.00,USD,2026-08-31T05:46:00Z,REF-21937,SWIFT,APAC,SETTLED
REC000124,SND05918,RCV03817,36.00.00,USD,2026-08-31T18:54:00Z,REF-32685,SWIFT,APAC,SETTLED
REC000125,SND09217,RCV09107,32.00.00,USD,2026-08-31T17:37:00Z,REF-25434,SWIFT,APAC,SETTLED
REC000126,SND05493,RCV09353,59.00.00,USD,2026-08-31T19:53:00Z,REF-14578,SWIFT,APAC,SETTLED
REC000127,SND03829,RCV04305,69.00.00,USD,2026-08-31T19:53:00Z,REF-27796,SWIFT,APAC,SETTLED
REC000128,SND01877,RCV05789,94.00.00,USD,2026-08-31T02:17:00Z,REF-30334,SWIFT,APAC,SETTLED
REC000129,SND01812,RCV05528,36.00.00,USD,2026-08-31T07:59:00Z,REF-14484,SWIFT,APAC,SETTLED
REC000130,SND01601,RCV07159,15.00.00,USD,2026-08-31T17:51:00Z,REF-23858,SWIFT,APAC,SETTLED
REC000131,SND06982,RCV00824,87.00.00,USD,2026-08-31T03:11:00Z,REF-29755,SWIFT,APAC,SETTLED
REC000132,SND04706,RCV00640,41.00.00,USD,2026-08-31T10:22:00Z,REF-8569,SWIFT,APAC,SETTLED
REC000133,SND01598,RCV04530,88.00.00,USD,2026-08-31T18:51:00Z,REF-6555,SWIFT,APAC,SETTLED
REC000134,SND08883,RCV00462,11.00.00,USD,2026-08-31T02:51:00Z,REF-18425,SWIFT,APAC,SETTLED
REC000135,SND02924,RCV01170,5.00.00,USD,2026-08-31T04:38:00Z,REF-4095,SWIFT,APAC,SETTLED
REC000136,SND05993,RCV04953,69.00.00,USD,2026-08-31T01:46:00Z,REF-12802,SWIFT,APAC,SETTLED
REC000137,SND02485,RCV06884,18.00.00,USD,2026-08-31T11:26:00Z,REF-186,SWIFT,APAC,SETTLED
REC000138,SND07144,RCV03693,84.00.00,USD,2026-08-31T14:17:00Z,REF-25068,SWIFT,APAC,SETTLED
REC000139,SND08291,RCV05728,51.00.00,USD,2026-08-31T13:35:00Z,REF-17589,SWIFT,APAC,SETTLED
REC000140,SND02879,RCV05535,95.00.00,USD,2026-08-31T10:51:00Z,REF-24059,SWIFT,APAC,SETTLED
REC000141,SND03559,RCV00976,17.00.00,USD,2026-08-31T05:01:00Z,REF-10113,SWIFT,APAC,SETTLED
REC000142,SND07278,RCV06801,87.00.00,USD,2026-08-31T03:51:00Z,REF-10689,SWIFT,APAC,SETTLED
REC000143,SND01144,RCV05402,70.00.00,USD,2026-08-31T19:36:00Z,REF-29706,SWIFT,APAC,SETTLED
REC000144,SND00841,RCV00717,46.00.00,USD,2026-08-31T02:47:00Z,REF-22728,SWIFT,APAC,SETTLED
REC000145,SND05588,RCV03686,62.00.00,USD,2026-08-31T19:55:00Z,REF-24193,SWIFT,APAC,SETTLED
REC000146,SND08698,RCV05295,63.00.00,USD,2026-08-31T17:46:00Z,REF-27916,SWIFT,APAC,SETTLED
REC000147,SND06859,RCV05747,55.00.00,USD,2026-08-31T16:26:00Z,REF-19767,SWIFT,APAC,SETTLED
REC000148,SND01853,RCV09057,72.00.00,USD,2026-08-31T17:21:00Z,REF-31473,SWIFT,APAC,SETTLED
REC000149,SND03284,RCV07803,7.00.00,USD,2026-08-31T02:14:00Z,REF-281,SWIFT,APAC,SETTLED
REC000150,SND01068,RCV02472,92.00.00,USD,2026-08-31T21:18:00Z,REF-4424,SWIFT,APAC,SETTLED
REC000151,SND00485,RCV02629,97.00.00,USD,2026-08-31T05:30:00Z,REF-16969,SWIFT,APAC,SETTLED
REC000152,SND00223,RCV05846,61.00.00,USD,2026-08-31T15:56:00Z,REF-20441,SWIFT,APAC,SETTLED
REC000153,SND07981,RCV08295,99.00.00,USD,2026-08-31T16:41:00Z,REF-20660,SWIFT,APAC,SETTLED
REC000154,SND02125,RCV08297,52.00.00,USD,2026-08-31T22:14:00Z,REF-31329,SWIFT,APAC,SETTLED
REC000155,SND09903,RCV07232,66.00.00,USD,2026-08-31T18:23:00Z,REF-19393,SWIFT,APAC,SETTLED
REC000156,SND09379,RCV07212,53.00.00,USD,2026-08-31T12:57:00Z,REF-4587,SWIFT,APAC,SETTLED
REC000157,SND09684,RCV05183,28.00.00,USD,2026-08-31T06:15:00Z,REF-7259,SWIFT,APAC,SETTLED
REC000158,SND02773,RCV00615,21.00.00,USD,2026-08-31T03:56:00Z,REF-3407,SWIFT,APAC,SETTLED
REC000159,SND07995,RCV00702,2.00.00,USD,2026-08-31T06:16:00Z,REF-7201,SWIFT,APAC,SETTLED
REC000160,SND09325,RCV08438,83.00.00,USD,2026-08-31T04:49:00Z,REF-511,SWIFT,APAC,SETTLED
REC000161,SND07301,RCV00668,14.00.00,USD,2026-08-31T08:58:00Z,REF-20937,SWIFT,APAC,SETTLED
REC000162,SND03347,RCV07808,5.00.00,USD,2026-08-31T04:23:00Z,REF-5313,SWIFT,APAC,SETTLED
REC000163,SND05044,RCV02716,79.00.00,USD,2026-08-31T12:23:00Z,REF-14392,SWIFT,APAC,SETTLED
REC000164,SND08782,RCV04261,6.00.00,USD,2026-08-31T23:22:00Z,REF-3675,SWIFT,APAC,SETTLED
REC000165,SND07561,RCV06425,61.00.00,USD,2026-08-31T16:37:00Z,REF-10423,SWIFT,APAC,SETTLED
REC000166,SND04605,RCV02555,69.00.00,USD,2026-08-31T00:41:00Z,REF-19098,SWIFT,APAC,SETTLED
REC000167,SND08218,RCV06303,30.00.00,USD,2026-08-31T22:53:00Z,REF-28987,SWIFT,APAC,SETTLED
REC000168,SND08420,RCV04961,42.00.00,USD,2026-08-31T11:19:00Z,REF-17595,SWIFT,APAC,SETTLED
REC000169,SND01087,RCV03596,48.00.00,USD,2026-08-31T00:43:00Z,REF-5560,SWIFT,APAC,SETTLED
REC000170,SND01850,RCV00815,40.00.00,USD,2026-08-31T04:53:00Z,REF-13870,SWIFT,APAC,SETTLED
REC000171,SND08458,RCV08235,12.00.00,USD,2026-08-31T22:30:00Z,REF-2627,SWIFT,APAC,SETTLED
REC000172,SND09080,RCV05752,44.00.00,USD,2026-08-31T07:45:00Z,REF-29301,SWIFT,APAC,SETTLED
REC000173,SND03142,RCV05706,95.00.00,USD,2026-08-31T01:37:00Z,REF-21956,SWIFT,APAC,SETTLED
REC000174,SND06880,RCV09388,99.00.00,USD,2026-08-31T12:10:00Z,REF-6593,SWIFT,APAC,SETTLED
REC000175,SND07037,RCV08803,62.00.00,USD,2026-08-31T02:07:00Z,REF-11813,SWIFT,APAC,SETTLED
REC000176,SND01844,RCV01527,6.00.00,USD,2026-08-31T01:31:00Z,REF-2746,SWIFT,APAC,SETTLED
REC000177,SND07308,RCV01141,26.00.00,USD,2026-08-31T09:19:00Z,REF-3743,SWIFT,APAC,SETTLED
REC000178,SND02696,RCV07219,45.00.00,USD,2026-08-31T22:27:00Z,REF-27421,SWIFT,APAC,SETTLED
REC000179,SND06753,RCV00019,27.00.00,USD,2026-08-31T21:53:00Z,REF-8678,SWIFT,APAC,SETTLED
REC000180,SND00489,RCV03038,7.00.00,USD,2026-08-31T11:19:00Z,REF-26252,SWIFT,APAC,SETTLED
REC000181,SND06956,RCV00599,56.00.00,USD,2026-08-31T15:33:00Z,REF-3764,SWIFT,APAC,SETTLED
REC000182,SND01007,RCV01853,65.00.00,USD,2026-08-31T21:58:00Z,REF-28437,SWIFT,APAC,SETTLED
REC000183,SND03916,RCV00998,30.00.00,USD,2026-08-31T04:58:00Z,REF-7903,SWIFT,APAC,SETTLED
REC000184,SND09904,RCV02101,69.00.00,USD,2026-08-31T01:51:00Z,REF-22674,SWIFT,APAC,SETTLED
REC000185,SND08044,RCV02082,39.00.00,USD,2026-08-31T07:56:00Z,REF-26046,SWIFT,APAC,SETTLED
REC000186,SND06734,RCV03505,65.00.00,USD,2026-08-31T07:06:00Z,REF-12088,SWIFT,APAC,SETTLED
REC000187,SND06899,RCV09220,41.00.00,USD,2026-08-31T14:57:00Z,REF-4892,SWIFT,APAC,SETTLED
REC000188,SND09808,RCV06054,12.00.00,USD,2026-08-31T07:36:00Z,REF-30680,SWIFT,APAC,SETTLED
REC000189,SND01722,RCV07412,67.00.00,USD,2026-08-31T01:05:00Z,REF-18064,SWIFT,APAC,SETTLED
REC000190,SND06817,RCV06521,99.00.00,USD,2026-08-31T17:43:00Z,REF-1936,SWIFT,APAC,SETTLED
REC000191,SND03763,RCV05161,86.00.00,USD,2026-08-31T18:13:00Z,REF-17078,SWIFT,APAC,SETTLED
REC000192,SND05367,RCV06594,0.00,USD,2026-08-31T20:27:00Z,REF-28333,SWIFT,APAC,SETTLED
REC000193,SND09788,RCV05132,27.00.00,USD,2026-08-31T07:24:00Z,REF-22733,SWIFT,APAC,SETTLED
REC000194,SND03350,RCV02441,85.00.00,USD,2026-08-31T21:42:00Z,REF-26025,SWIFT,APAC,SETTLED
REC000195,SND07870,RCV00042,77.00.00,USD,2026-08-31T01:25:00Z,REF-3937,SWIFT,APAC,SETTLED
REC000196,SND00777,RCV07307,24.00.00,USD,2026-08-31T16:07:00Z,REF-12636,SWIFT,APAC,SETTLED
REC000197,SND08154,RCV02439,67.00.00,USD,2026-08-31T19:33:00Z,REF-16177,SWIFT,APAC,SETTLED
REC000198,SND09382,RCV08617,1.00.00,USD,2026-08-31T03:31:00Z,REF-3232,SWIFT,APAC,SETTLED
REC000199,SND00687,RCV03468,53.00.00,USD,2026-08-31T09:10:00Z,REF-11319,SWIFT,APAC,SETTLED
REC000200,SND01510,RCV04917,21.00.00,USD,2026-08-31T20:50:00Z,REF-27567,SWIFT,APAC,SETTLED
REC000201,SND01190,RCV09564,26.00.00,USD,2026-08-31T18:19:00Z,REF-5308,SWIFT,APAC,SETTLED
REC000202,SND06762,RCV00177,78.00.00,USD,2026-08-31T02:15:00Z,REF-14075,SWIFT,APAC,SETTLED
REC000203,SND08889,RCV00060,55.00.00,USD,2026-08-31T07:24:00Z,REF-24813,SWIFT,APAC,SETTLED
REC000204,SND06480,RCV07220,23.00.00,USD,2026-08-31T16:25:00Z,REF-30390,SWIFT,APAC,SETTLED
REC000205,SND07253,RCV01217,78.00.00,USD,2026-08-31T12:54:00Z,REF-8214,SWIFT,APAC,SETTLED
REC000206,SND08932,RCV02478,43.00.00,USD,2026-08-31T22:02:00Z,REF-11444,SWIFT,APAC,SETTLED
REC000207,SND09052,RCV05711,68.00.00,USD,2026-08-31T08:01:00Z,REF-357,SWIFT,APAC,SETTLED
REC000208,SND09653,RCV06172,43.00.00,USD,2026-08-31T16:40:00Z,REF-18567,SWIFT,APAC,SETTLED
REC000209,SND02445,RCV06079,94.00.00,USD,2026-08-31T15:27:00Z,REF-27797,SWIFT,APAC,SETTLED
REC000210,SND05396,RCV06642,2.00.00,USD,2026-08-31T22:39:00Z,REF-28912,SWIFT,APAC,SETTLED
REC000211,SND07501,RCV03238,60.00.00,USD,2026-08-31T07:41:00Z,REF-11056,SWIFT,APAC,SETTLED
REC000212,SND03288,RCV02268,41.00.00,USD,2026-08-31T19:33:00Z,REF-31333,SWIFT,APAC,SETTLED
REC000213,SND07858,RCV03775,11.00.00,USD,2026-08-31T06:26:00Z,REF-16024,SWIFT,APAC,SETTLED
REC000214,SND08531,RCV04882,42.00.00,USD,2026-08-31T07:06:00Z,REF-17677,SWIFT,APAC,SETTLED
REC000215,SND00953,RCV02006,58.00.00,USD,2026-08-31T10:19:00Z,REF-16750,SWIFT,APAC,SETTLED
REC000216,SND07174,RCV03162,25.00.00,USD,2026-08-31T03:32:00Z,REF-30149,SWIFT,APAC,SETTLED
REC000217,SND00842,RCV09054,66.00.00,USD,2026-08-31T22:07:00Z,REF-14582,SWIFT,APAC,SETTLED
REC000218,SND03034,RCV03871,73.00.00,USD,2026-08-31T09:40:00Z,REF-18644,SWIFT,APAC,SETTLED
REC000219,SND09715,RCV08189,32.00.00,USD,2026-08-31T20:48:00Z,REF-17575,SWIFT,APAC,SETTLED
REC000220,SND08852,RCV08176,84.00.00,USD,2026-08-31T06:40:00Z,REF-17748,SWIFT,APAC,SETTLED
REC000221,SND05033,RCV02296,53.00.00,USD,2026-08-31T04:54:00Z,REF-8844,SWIFT,APAC,SETTLED
REC000222,SND06836,RCV05394,52.00.00,USD,2026-08-31T08:14:00Z,REF-3312,SWIFT,APAC,SETTLED
REC000223,SND02489,RCV01401,6.00.00,USD,2026-08-31T13:31:00Z,REF-31710,SWIFT,APAC,SETTLED
REC000224,SND09319,RCV03468,76.00.00,USD,2026-08-31T22:20:00Z,REF-13487,SWIFT,APAC,SETTLED
